34635 32 30
34636 32 31
34637 32 32
34638 32 33
34639 32 34
34640 32 35
34641 32 36
34642 32 37
34643 32 38
34644 32 39
34645 32 40
34646 32 41
34647 31 30
34648 31 31
34649 31 32
34650 31 33
34651 31 34
34652 31 35
34653 31 36
34654 31 37
34655 31 38
34656 31 39
34657 31 40
34658 31 41
34659 30 30
34660 30 31
34661 30 32
34662 30 33
34663 30 34
34664 30 35
34665 30 36
34666 30 37
34667 30 38
34668 30 39
34669 30 40
34670 30 41
34671 29 30
34672 29 31
34673 29 32
34674 29 33
34675 29 34
34676 29 35
34677 29 36
34678 29 37
34679 29 38
34680 29 39
34681 29 40
34682 29 41
34683 28 30
34684 28 31
34685 28 32
34686 28 33
34687 28 34
34688 28 35
34689 28 36
34690 28 37
34691 28 38
34692 28 39
34693 28 40
34694 28 41
34695 27 30
34696 27 31
34697 27 32
34698 27 33
34699 27 34
34700 27 35
34701 27 36
34702 27 37
34703 27 38
34704 27 39
34705 27 40
34706 27 41
34707 26 30
34708 26 31
34709 26 32
34710 26 33
34711 26 34
34712 26 35
34713 26 36
34714 26 37
34715 26 38
34716 26 39
34717 26 40
34718 26 41
34719 25 30
34720 25 31
34721 25 32
34722 25 33
34723 25 34
34724 25 35
34725 25 36
34726 25 37
34727 25 38
34728 25 39
34729 25 40
34730 25 41
34731 24 30
34732 24 31
34733 24 32
34734 24 33
34735 24 34
34736 24 35
34737 24 36
34738 24 37
34739 24 38
34740 24 39
34741 24 40
34742 24 41
34743 23 30
34744 23 31
34745 23 32
34746 23 33
34747 23 34
34748 23 35
34749 23 36
34750 23 37
34751 23 38
34752 23 39
34753 23 40
34754 23 41
34755 22 30
34756 22 31
34757 22 32
34758 22 33
34759 22 34
34760 22 35
34761 22 36
34762 22 37
34763 22 38
34764 22 39
34765 22 40
34766 22 41
34767 21 30
34768 21 31
34769 21 32
34770 21 33
34771 21 34
34772 21 35
34773 21 36
34774 21 37
34775 21 38
34776 21 39
34777 21 40
34778 21 41
34779 20 30
34780 20 31
34781 20 32
34782 20 33
34783 20 34
34784 20 35
34785 20 36
34786 20 37
34787 20 38
34788 20 39
34789 20 40
34790 20 41
34791 19 30
34792 19 31
34793 19 32
34794 19 33
34795 19 34
34796 19 35
34797 19 36
34798 19 37
34799 19 38
34800 19 39
34801 19 40
34802 19 41
34803 18 30
34804 18 31
34805 18 32
34806 18 33
34807 18 34
34808 18 35
34809 18 36
34810 18 37
34811 18 38
34812 18 39
34813 18 40
34814 18 41
34815 17 30
34816 17 31
34817 17 32
34818 17 33
34819 17 34
34820 17 35
34821 17 36
34822 17 37
34823 17 38
34824 17 39
34825 17 40
34826 17 41
34827 16 30
34828 16 31
34829 16 32
34830 16 33
34831 16 34
34832 16 35
34833 16 36
34834 16 37
34835 16 38
34836 16 39
34837 16 40
34838 16 41
34839 15 30
34840 15 31
34841 15 32
34842 15 33
34843 15 34
34844 15 35
34845 15 36
34846 15 37
34847 15 38
34848 15 39
34849 15 40
34850 15 41
34851 14 30
34852 14 31
34853 14 32
34854 14 33
34855 14 34
34856 14 35
34857 14 36
34858 14 37
34859 14 38
34860 14 39
34861 14 40
34862 14 41
34863 13 30
34864 13 31
34865 13 32
34866 13 33
34867 13 34
34868 13 35
34869 13 36
34870 13 37
34871 13 38
34872 13 39
34873 13 40
34874 13 41
34877 0 11
34878 0 10
34879 0 9
34880 0 8
34881 0 7
34882 0 6
34883 0 5
34884 0 4
34885 0 3
34886 0 2
34887 0 1
34888 0 0
34889 1 11
34890 1 10
34891 1 9
34892 1 8
34893 1 7
34894 1 6
34895 1 5
34896 1 4
34897 1 3
34898 1 2
34899 1 1
34900 1 0
34901 2 11
34902 2 10
34903 2 9
34904 2 8
34905 2 7
34906 2 6
34907 2 5
34908 2 4
34909 2 3
34910 2 2
34911 2 1
34912 2 0
34913 3 11
34914 3 10
34915 3 9
34916 3 8
34917 3 7
34918 3 6
34919 3 5
34920 3 4
34921 3 3
34922 3 2
34923 3 1
34924 3 0
34925 4 11
34926 4 10
34927 4 9
34928 4 8
34929 4 7
34930 4 6
34931 4 5
34932 4 4
34933 4 3
34934 4 2
34935 4 1
34936 4 0
34937 5 11
34938 5 10
34939 5 9
34940 5 8
34941 5 7
34942 5 6
34943 5 5
34944 5 4
34945 5 3
34946 5 2
34947 5 1
34948 5 0
34949 6 11
34950 6 10
34951 6 9
34952 6 8
34953 6 7
34954 6 6
34955 6 5
34956 6 4
34957 6 3
34958 6 2
34959 6 1
34960 6 0
34961 7 11
34962 7 10
34963 7 9
34964 7 8
34965 7 7
34966 7 6
34967 7 5
34968 7 4
34969 7 3
34970 7 2
34971 7 1
34972 7 0
34973 8 11
34974 8 10
34975 8 9
34976 8 8
34977 8 7
34978 8 6
34979 8 5
34980 8 4
34981 8 3
34982 8 2
34983 8 1
34984 8 0
34985 9 11
34986 9 10
34987 9 9
34988 9 8
34989 9 7
34990 9 6
34991 9 5
34992 9 4
34993 9 3
34994 9 2
34995 9 1
34996 9 0
34997 10 11
34998 10 10
34999 10 9
35000 10 8
35001 10 7
35002 10 6
35003 10 5
35004 10 4
35005 10 3
35006 10 2
35007 10 1
35008 10 0
35009 11 11
35010 11 10
35011 11 9
35012 11 8
35013 11 7
35014 11 6
35015 11 5
35016 11 4
35017 11 3
35018 11 2
35019 11 1
35020 11 0
35021 12 11
35022 12 10
35023 12 9
35024 12 8
35025 12 7
35026 12 6
35027 12 5
35028 12 4
35029 12 3
35030 12 2
35031 12 1
35032 12 0
35033 13 11
35034 13 10
35035 13 9
35036 13 8
35037 13 7
35038 13 6
35039 13 5
35040 13 4
35041 13 3
35042 13 2
35043 13 1
35044 13 0
35045 14 11
35046 14 10
35047 14 9
35048 14 8
35049 14 7
35050 14 6
35051 14 5
35052 14 4
35053 14 3
35054 14 2
35055 14 1
35056 14 0
35057 15 11
35058 15 10
35059 15 9
35060 15 8
35061 15 7
35062 15 6
35063 15 5
35064 15 4
35065 15 3
35066 15 2
35067 15 1
35068 15 0
35069 16 11
35070 16 10
35071 16 9
35072 16 8
35073 16 7
35074 16 6
35075 16 5
35076 16 4
35077 16 3
35078 16 2
35079 16 1
35080 16 0
35081 17 11
35082 17 10
35083 17 9
35084 17 8
35085 17 7
35086 17 6
35087 17 5
35088 17 4
35089 17 3
35090 17 2
35091 17 1
35092 17 0
35093 18 11
35094 18 10
35095 18 9
35096 18 8
35097 18 7
35098 18 6
35099 18 5
35100 18 4
35101 18 3
35102 18 2
35103 18 1
35104 18 0
35105 19 11
35106 19 10
35107 19 9
35108 19 8
35109 19 7
35110 19 6
35111 19 5
35112 19 4
35113 19 3
35114 19 2
35115 19 1
35116 19 0
35117 20 11
35118 20 10
35119 20 9
35120 20 8
35121 20 7
35122 20 6
35123 20 5
35124 20 4
35125 20 3
35126 20 2
35127 20 1
35128 20 0
35129 21 11
35130 21 10
35131 21 9
35132 21 8
35133 21 7
35134 21 6
35135 21 5
35136 21 4
35137 21 3
35138 21 2
35139 21 1
35140 21 0
35141 22 11
35142 22 10
35143 22 9
35144 22 8
35145 22 7
35146 22 6
35147 22 5
35148 22 4
35149 22 3
35150 22 2
35151 22 1
35152 22 0
35153 23 11
35154 23 10
35155 23 9
35156 23 8
35157 23 7
35158 23 6
35159 23 5
35160 23 4
35161 23 3
35162 23 2
35163 23 1
35164 23 0
35165 24 11
35166 24 10
35167 24 9
35168 24 8
35169 24 7
35170 24 6
35171 24 5
35172 24 4
35173 24 3
35174 24 2
35175 24 1
35176 24 0
35177 25 11
35178 25 10
35179 25 9
35180 25 8
35181 25 7
35182 25 6
35183 25 5
35184 25 4
35185 25 3
35186 25 2
35187 25 1
35188 25 0
35189 26 11
35190 26 10
35191 26 9
35192 26 8
35193 26 7
35194 26 6
35195 26 5
35196 26 4
35197 26 3
35198 26 2
35199 26 1
35200 26 0
35201 27 11
35202 27 10
35203 27 9
35204 27 8
35205 27 7
35206 27 6
35207 27 5
35208 27 4
35209 27 3
35210 27 2
35211 27 1
35212 27 0
35213 28 11
35214 28 10
35215 28 9
35216 28 8
35217 28 7
35218 28 6
35219 28 5
35220 28 4
35221 28 3
35222 28 2
35223 28 1
35224 28 0
35227 11 41
35228 10 41
35229 9 41
35230 8 41
35231 7 41
35232 6 41
35233 5 41
35234 4 41
35235 3 41
35236 2 41
35237 1 41
35238 0 41
35239 11 40
35240 10 40
35241 9 40
35242 8 40
35243 7 40
35244 6 40
35245 5 40
35246 4 40
35247 3 40
35248 2 40
35249 1 40
35250 0 40
35251 11 39
35252 10 39
35253 9 39
35254 8 39
35255 7 39
35256 6 39
35257 5 39
35258 4 39
35259 3 39
35260 2 39
35261 1 39
35262 0 39
35263 11 38
35264 10 38
35265 9 38
35266 8 38
35267 7 38
35268 6 38
35269 5 38
35270 4 38
35271 3 38
35272 2 38
35273 1 38
35274 0 38
35275 11 37
35276 10 37
35277 9 37
35278 8 37
35279 7 37
35280 6 37
35281 5 37
35282 4 37
35283 3 37
35284 2 37
35285 1 37
35286 0 37
35287 11 36
35288 10 36
35289 9 36
35290 8 36
35291 7 36
35292 6 36
35293 5 36
35294 4 36
35295 3 36
35296 2 36
35297 1 36
35298 0 36
35299 11 35
35300 10 35
35301 9 35
35302 8 35
35303 7 35
35304 6 35
35305 5 35
35306 4 35
35307 3 35
35308 2 35
35309 1 35
35310 0 35
35311 11 34
35312 10 34
35313 9 34
35314 8 34
35315 7 34
35316 6 34
35317 5 34
35318 4 34
35319 3 34
35320 2 34
35321 1 34
35322 0 34
35323 11 33
35324 10 33
35325 9 33
35326 8 33
35327 7 33
35328 6 33
35329 5 33
35330 4 33
35331 3 33
35332 2 33
35333 1 33
35334 0 33
35335 11 32
35336 10 32
35337 9 32
35338 8 32
35339 7 32
35340 6 32
35341 5 32
35342 4 32
35343 3 32
35344 2 32
35345 1 32
35346 0 32
35347 11 31
35348 10 31
35349 9 31
35350 8 31
35351 7 31
35352 6 31
35353 5 31
35354 4 31
35355 3 31
35356 2 31
35357 1 31
35358 0 31
35359 11 30
35360 10 30
35361 9 30
35362 8 30
35363 7 30
35364 6 30
35365 5 30
35366 4 30
35367 3 30
35368 2 30
35369 1 30
35370 0 30
35371 11 29
35372 10 29
35373 9 29
35374 8 29
35375 7 29
35376 6 29
35377 5 29
35378 4 29
35379 3 29
35380 2 29
35381 1 29
35382 0 29
35383 11 28
35384 10 28
35385 9 28
35386 8 28
35387 7 28
35388 6 28
35389 5 28
35390 4 28
35391 3 28
35392 2 28
35393 1 28
35394 0 28
35395 11 27
35396 10 27
35397 9 27
35398 8 27
35399 7 27
35400 6 27
35401 5 27
35402 4 27
35403 3 27
35404 2 27
35405 1 27
35406 0 27
35407 11 26
35408 10 26
35409 9 26
35410 8 26
35411 7 26
35412 6 26
35413 5 26
35414 4 26
35415 3 26
35416 2 26
35417 1 26
35418 0 26
35419 11 25
35420 10 25
35421 9 25
35422 8 25
35423 7 25
35424 6 25
35425 5 25
35426 4 25
35427 3 25
35428 2 25
35429 1 25
35430 0 25
35431 11 24
35432 10 24
35433 9 24
35434 8 24
35435 7 24
35436 6 24
35437 5 24
35438 4 24
35439 3 24
35440 2 24
35441 1 24
35442 0 24
35443 11 23
35444 10 23
35445 9 23
35446 8 23
35447 7 23
35448 6 23
35449 5 23
35450 4 23
35451 3 23
35452 2 23
35453 1 23
35454 0 23
35455 11 22
35456 10 22
35457 9 22
35458 8 22
35459 7 22
35460 6 22
35461 5 22
35462 4 22
35463 3 22
35464 2 22
35465 1 22
35466 0 22
35467 11 21
35468 10 21
35469 9 21
35470 8 21
35471 7 21
35472 6 21
35473 5 21
35474 4 21
35475 3 21
35476 2 21
35477 1 21
35478 0 21
35479 11 20
35480 10 20
35481 9 20
35482 8 20
35483 7 20
35484 6 20
35485 5 20
35486 4 20
35487 3 20
35488 2 20
35489 1 20
35490 0 20
